"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,Reported1st case
USA,152631,"+9,140",2817.0,+234,5211.0,144603,3402.0,461.0,9.0,Jan 20
Italy,101739,"+4,050",11591.0,+812,14620.0,75528,3981.0,1683.0,192.0,Jan 29
Spain,85195,"+5,085",7340.0,+537,16780.0,61075,5231.0,1822.0,157.0,Jan 30
Germany,63929,"+1,494",560.0,+19,9211.0,54158,1979.0,763.0,7.0,Jan 26
France,44550,"+4,376",3024.0,+418,7927.0,33599,5056.0,683.0,46.0,Jan 23
Iran,41495,"+3,186",2757.0,+117,13911.0,24827,3511.0,494.0,33.0,Feb 18
UK,22141,"+2,619",1408.0,+180,135.0,20598,163.0,326.0,21.0,Jan 30
Switzerland,15760,+931,348.0,+48,1823.0,13589,301.0,1821.0,40.0,Feb 24
Belgium,11899,"+1,063",513.0,+82,1527.0,9859,927.0,1027.0,44.0,Feb 03
Netherlands,11750,+884,864.0,+93,250.0,10636,1053.0,686.0,50.0,Feb 26
Turkey,10827,"+1,610",168.0,+37,105.0,10554,568.0,128.0,2.0,Mar 09
S. Korea,9661,+78,158.0,+6,5228.0,4275,59.0,188.0,3.0,Jan 19
Austria,9541,+753,108.0,+22,636.0,8797,193.0,1059.0,12.0,Feb 24
Canada,6671,+351,67.0,+2,1014.0,5590,120.0,177.0,2.0,Jan 24
Portugal,6408,+446,140.0,+21,43.0,6225,164.0,628.0,14.0,Mar 01
Israel,4695,+448,16.0,+1,134.0,4545,66.0,542.0,2.0,Feb 20
Norway,4445,+161,32.0,+6,12.0,4401,97.0,820.0,6.0,Feb 25
Brazil,4371,+115,141.0,+5,120.0,4110,296.0,21.0,0.7,Feb 24
Australia,4245,+82,18.0,+1,244.0,3983,28.0,166.0,0.7,Jan 24
Sweden,4028,+328,146.0,+36,16.0,3866,306.0,399.0,14.0,Jan 30
Czechia,2942,+125,23.0,+7,25.0,2894,52.0,275.0,2.0,Feb 29
Malaysia,2626,+156,37.0,+2,479.0,2110,94.0,81.0,1.0,Jan 24
Ireland,2615,,46.0,,5.0,2564,59.0,530.0,9.0,Feb 28
Denmark,2577,+182,77.0,+5,1.0,2499,137.0,445.0,13.0,Feb 26
Chile,2449,+310,8.0,+1,156.0,2285,14.0,128.0,0.4,Mar 02
Luxembourg,1988,+38,22.0,+1,40.0,1926,25.0,3176.0,35.0,Feb 28
Poland,1984,+122,26.0,+4,7.0,1951,3.0,52.0,0.7,Mar 03
